id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
SRR4305290_rgi_card_k119_249_3_#_1757_#_3655_#_-1_#_ID=54_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.552	14	2	1899	0	99.42%	92%
SRR4305420_rgi_card_k119_23267_2_#_1061_#_3112_#_-1_#_ID=6871_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544	15	1	2052	1	100	100%
SRR7217846_rgi_card_k141_3209_4_#_3714_#_5765_#_1_#_ID=1115_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547	16	1	2052	1	100	100%
SRR7217852_rgi_card_k141_2682_2_#_765_#_2816_#_-1_#_ID=893_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.543	17	1	2052	1	100	100%
SRR13622615_rgi_card_k141_12026_1_#_1_#_2019_#_-1_#_ID=3909_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.593	18	1	2019	1	100	100%
SRR13622720_rgi_card_k141_16648_1_#_2_#_1963_#_1_#_ID=6309_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.546	19	1	1962	1	100	100%
SRR13622726_rgi_card_k141_6932_6_#_3480_#_5438_#_1_#_ID=2710_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.314	20	5	1959	1	100	100%
SRR13622738_rgi_card_k141_6869_2_#_1567_#_3525_#_1_#_ID=2056_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.314	20	5	1959	0	99.95%	100%
SRR7217803_rgi_card_k141_1012_10_#_7871_#_9829_#_-1_#_ID=217_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.314	20	5	1959	0	99.95%	100%
SRR7281011_rgi_card_k119_2581_5_#_3426_#_5384_#_1_#_ID=918_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.314	20	5	1959	0	99.95%	100%
SRR9865418_rgi_card_k141_10698_10_#_7871_#_9829_#_-1_#_ID=2338_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.314	20	5	1959	0	99.95%	100%
SRR4305398_rgi_card_k119_6082_2_#_1158_#_3098_#_1_#_ID=1250_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.333	21	1	1941	1	100	100%
SRR4305348_rgi_card_k119_8070_1_#_13_#_1932_#_-1_#_ID=3055_1;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=4bp;gc_cont=0.359	22	3	1920	1	100	100%
SRR7280864_rgi_card_k119_3201_7_#_3989_#_5908_#_-1_#_ID=1338_7;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=4bp;gc_cont=0.361	22	3	1920	0	99.84%	100%
SRR7280798_rgi_card_k119_17705_1_#_252_#_2147_#_1_#_ID=4839_1;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.363	22	3	1896	0	99.42%	98%
SRR7280806_rgi_card_k119_7600_12_#_11950_#_13869_#_1_#_ID=2403_12;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.366	23	2	1920	1	100	100%
SRR4305440_rgi_card_k119_1440_1_#_252_#_2108_#_1_#_ID=532_1;partial=01;start_type=ATG;rbs_motif=AAAA;rbs_spacer=4bp;gc_cont=0.366	23	2	1857	0	100.00%	96%
SRR7280820_rgi_card_k119_4447_1_#_296_#_2215_#_1_#_ID=1388_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.370	24	1	1920	1	100	100%
SRR7280841_rgi_card_k119_3180_1_#_3_#_1922_#_-1_#_ID=1734_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.360	25	1	1920	1	100	100%
SRR7281013_rgi_card_k119_870_1_#_250_#_2169_#_-1_#_ID=272_1;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=4bp;gc_cont=0.410	26	2	1920	1	100	100%
SRR7217742_rgi_card_k141_6978_1_#_1_#_1917_#_1_#_ID=1980_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.407	26	2	1917	0	99.01%	99%
SRR7217849_rgi_card_k141_693_1_#_3_#_1919_#_-1_#_ID=316_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.393	27	2	1917	1	100	100%
SRR7217685_rgi_card_k141_19852_2_#_747_#_2582_#_1_#_ID=6738_2;partial=01;start_type=ATG;rbs_motif=AAAA;rbs_spacer=12bp;gc_cont=0.396	27	2	1836	0	99.24%	95%
SRR7217652_rgi_card_k141_8506_1_#_428_#_2329_#_-1_#_ID=3165_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.550	28	1	1902	1	100	100%
SRR7217918_rgi_card_k141_7418_3_#_1934_#_3832_#_-1_#_ID=2438_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.551	29	2	1899	1	100	100%
SRR7217875_rgi_card_k141_11740_3_#_1356_#_3251_#_-1_#_ID=2966_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.553	29	2	1896	0	99.10%	99%
SRR9865691_rgi_card_k141_979_3_#_1145_#_3004_#_-1_#_ID=204_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.606	30	1	1860	1	100	100%
SRR4408035_rgi_card_k119_54221_1_#_1_#_1818_#_-1_#_ID=14289_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.547	31	1	1818	1	100	100%
SRR7217849_rgi_card_k141_5447_1_#_304_#_2121_#_-1_#_ID=2465_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.552	32	1	1818	1	100	100%
SRR4305336_rgi_card_k119_19138_2_#_779_#_2566_#_1_#_ID=4476_2;partial=01;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400	33	1	1788	1	100	100%
SRR7217493_rgi_card_k141_6435_1_#_1_#_1740_#_-1_#_ID=1812_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.535	34	1	1740	1	100	100%
SRR4305374_rgi_card_k119_210_7_#_6863_#_8506_#_-1_#_ID=36_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.500	35	1	1644	1	100	100%
SRR13622637_rgi_card_k141_2919_2_#_272_#_1891_#_1_#_ID=1039_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.449	36	2	1620	1	100	100%
SRR7217720_rgi_card_k141_8074_1_#_194_#_1813_#_1_#_ID=3394_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.449	36	2	1620	0	100.00%	100%
SRR4408122_rgi_card_k119_887_1_#_3_#_1619_#_1_#_ID=422_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.612	37	1	1617	1	100	100%
SRR7217738_rgi_card_k141_12848_2_#_1768_#_3381_#_1_#_ID=3237_2;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.315	38	1	1614	1	100	100%
SRR4305515_rgi_card_k119_2922_1_#_3_#_1583_#_-1_#_ID=751_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.540	39	1	1581	1	100	100%
SRR7217851_rgi_card_k141_4007_1_#_1_#_1581_#_1_#_ID=1840_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.388	40	1	1581	1	100	100%
SRR7217780_rgi_card_k141_13252_1_#_423_#_1997_#_-1_#_ID=4716_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.556	41	2	1575	1	100	100%
SRR4305405_rgi_card_k119_713_1_#_2_#_1540_#_1_#_ID=223_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.559	41	2	1539	0	99.55%	97%
SRR13622664_rgi_card_k141_8578_1_#_2_#_1567_#_1_#_ID=3039_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.556	42	1	1566	1	100	100%
SRR1779153_rgi_card_k141_1239_2_#_202_#_1746_#_1_#_ID=516_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.355	43	7	1545	1	100	100%
SRR1779154_rgi_card_k141_3873_1_#_50_#_1594_#_1_#_ID=1571_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.355	43	7	1545	0	100.00%	100%
SRR5575364_rgi_card_k141_3150_1_#_259_#_1803_#_-1_#_ID=852_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354	43	7	1545	0	99.94%	100%
SRR7217525_rgi_card_k141_95_7_#_5358_#_6902_#_1_#_ID=33_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353	43	7	1545	0	99.74%	100%
SRR7280833_rgi_card_k119_747_1_#_11_#_1555_#_-1_#_ID=252_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.355	43	7	1545	0	100.00%	100%
SRR5575620_rgi_card_k141_3601_3_#_802_#_2325_#_1_#_ID=1482_3;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.357	43	7	1524	0	100.00%	98%
SRR7716249_rgi_card_k141_1659_1_#_1_#_1512_#_-1_#_ID=632_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.355	43	7	1512	0	99.74%	97%
SRR7281003_rgi_card_k119_1673_2_#_76_#_1560_#_-1_#_ID=660_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.314	44	9	1485	1	100	100%
SRR1779153_rgi_card_k141_775_4_#_2530_#_3996_#_-1_#_ID=316_4;partial=00;start_type=ATG;rbs_motif=TACAA;rbs_spacer=13bp;gc_cont=0.314	44	9	1467	0	100.00%	98%
SRR1779154_rgi_card_k141_2946_4_#_2530_#_3996_#_-1_#_ID=1196_4;partial=00;start_type=ATG;rbs_motif=TACAA;rbs_spacer=13bp;gc_cont=0.314	44	9	1467	0	100.00%	98%
SRR5575364_rgi_card_k141_4566_4_#_2296_#_3762_#_1_#_ID=1254_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315	44	9	1467	0	100.00%	98%
SRR5575365_rgi_card_k141_1228_4_#_2530_#_3996_#_-1_#_ID=189_4;partial=00;start_type=ATG;rbs_motif=TACAA;rbs_spacer=13bp;gc_cont=0.314	44	9	1467	0	100.00%	98%
SRR5575421_rgi_card_k141_536_4_#_2390_#_3856_#_-1_#_ID=203_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314	44	9	1467	0	100.00%	98%
SRR7217525_rgi_card_k141_95_2_#_846_#_2312_#_1_#_ID=33_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315	44	9	1467	0	100.00%	98%
SRR7280833_rgi_card_k119_6801_1_#_516_#_1982_#_1_#_ID=2337_1;partial=00;start_type=ATG;rbs_motif=TACAA;rbs_spacer=13bp;gc_cont=0.315	44	9	1467	0	100.00%	98%
SRR7716249_rgi_card_k141_12114_2_#_794_#_2260_#_1_#_ID=4552_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315	44	9	1467	0	100.00%	98%
SRR7217515_rgi_card_k141_1839_1_#_1_#_1455_#_1_#_ID=718_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.542	45	1	1455	1	100	100%
SRR4408122_rgi_card_k119_1641_1_#_1_#_1392_#_-1_#_ID=780_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.605	46	1	1392	1	100	100%
SRR1779153_rgi_card_k141_3174_2_#_688_#_2067_#_-1_#_ID=1275_2;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.283	47	2	1380	1	100	100%
SRR1779154_rgi_card_k141_3302_2_#_687_#_2066_#_-1_#_ID=1332_2;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.283	47	2	1380	0	100.00%	100%
SRR7217631_rgi_card_k141_1985_1_#_532_#_1809_#_1_#_ID=616_1;partial=01;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.530	48	1	1278	1	100	100%
SRR7716241_rgi_card_k141_4090_6_#_4117_#_5391_#_1_#_ID=1765_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.632	49	5	1275	1	100	100%
SRR4408073_rgi_card_k119_8980_11_#_6712_#_7911_#_1_#_ID=3345_11;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.637	49	5	1200	0	100.00%	94%
SRR4408261_rgi_card_k119_4819_3_#_1568_#_2767_#_-1_#_ID=1373_3;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.635	49	5	1200	0	99.92%	94%
SRR8942402_rgi_card_k119_8667_3_#_1174_#_2373_#_1_#_ID=1585_3;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.637	49	5	1200	0	100.00%	94%
SRR8942410_rgi_card_k119_17470_3_#_1173_#_2372_#_1_#_ID=5267_3;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.637	49	5	1200	0	100.00%	94%
SRR13622726_rgi_card_k141_4666_1_#_3_#_1271_#_1_#_ID=1836_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.520	50	1	1269	1	100	100%
SRR13622726_rgi_card_k141_6932_5_#_2234_#_3496_#_1_#_ID=2710_5;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.298	51	6	1263	1	100	100%
SRR13622738_rgi_card_k141_6869_1_#_321_#_1583_#_1_#_ID=2056_1;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.298	51	6	1263	0	100.00%	100%
SRR7217738_rgi_card_k141_12848_1_#_522_#_1784_#_1_#_ID=3237_1;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.298	51	6	1263	0	100.00%	100%
SRR7217803_rgi_card_k141_1012_11_#_9813_#_11075_#_-1_#_ID=217_11;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.298	51	6	1263	0	100.00%	100%
SRR7281011_rgi_card_k119_2581_4_#_2180_#_3442_#_1_#_ID=918_4;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.298	51	6	1263	0	100.00%	100%
SRR9865418_rgi_card_k141_10698_11_#_9813_#_11075_#_-1_#_ID=2338_11;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.298	51	6	1263	0	100.00%	100%
SRR4305477_rgi_card_k119_858_2_#_181_#_1431_#_1_#_ID=191_2;partial=01;start_type=ATG;rbs_motif=AAAA;rbs_spacer=12bp;gc_cont=0.394	52	1	1251	1	100	100%
SRR4305189_rgi_card_k119_14494_4_#_1367_#_2605_#_-1_#_ID=3124_4;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.431	53	8	1239	1	100	100%
SRR4408055_rgi_card_k119_8817_2_#_199_#_1404_#_1_#_ID=3148_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.433	53	8	1206	0	100.00%	97%
SRR4408207_rgi_card_k119_3535_8_#_4233_#_5438_#_1_#_ID=968_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.434	53	8	1206	0	99.92%	97%
SRR4408269_rgi_card_k119_20906_4_#_2429_#_3634_#_-1_#_ID=5765_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.433	53	8	1206	0	99.92%	97%
SRR5575411_rgi_card_k141_3208_1_#_407_#_1612_#_-1_#_ID=1227_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.433	53	8	1206	0	99.92%	97%
SRR7280976_rgi_card_k119_1827_5_#_2120_#_3325_#_1_#_ID=944_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.434	53	8	1206	0	99.92%	97%
SRR8942345_rgi_card_k119_65315_9_#_4277_#_5482_#_1_#_ID=17662_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.434	53	8	1206	0	99.92%	97%
SRR8942422_rgi_card_k119_777_2_#_927_#_2132_#_1_#_ID=350_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.434	53	8	1206	0	99.92%	97%
SRR7217912_rgi_card_k141_5938_1_#_171_#_1409_#_1_#_ID=1549_1;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535	54	1	1239	1	100	100%
SRR7217785_rgi_card_k141_12405_1_#_3_#_1232_#_-1_#_ID=3866_1;partial=10;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.402	55	1	1230	1	100	100%
SRR7217617_rgi_card_k141_9952_1_#_2_#_1228_#_-1_#_ID=2788_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.593	56	1	1227	1	100	100%
SRR7217652_rgi_card_k141_4037_2_#_427_#_1641_#_1_#_ID=1504_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.393	57	1	1215	1	100	100%
SRR7217655_rgi_card_k141_3292_3_#_1579_#_2763_#_-1_#_ID=1042_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.565	58	1	1185	1	100	100%
SRR7217801_rgi_card_k141_7344_2_#_747_#_1922_#_-1_#_ID=2476_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598	59	1	1176	1	100	100%
SRR4305496_rgi_card_k119_6208_1_#_1_#_1173_#_1_#_ID=1519_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.397	60	1	1173	1	100	100%
SRR7217625_rgi_card_k141_9866_1_#_419_#_1564_#_1_#_ID=3755_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.538	61	4	1146	1	100	100%
SRR7217627_rgi_card_k141_19502_25_#_20881_#_22026_#_1_#_ID=5291_25;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.538	61	4	1146	0	100.00%	100%
SRR7217634_rgi_card_k141_9128_5_#_1850_#_2995_#_-1_#_ID=3112_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.539	61	4	1146	0	100.00%	100%
SRR9865690_rgi_card_k141_8540_5_#_1850_#_2995_#_-1_#_ID=2968_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.539	61	4	1146	0	100.00%	100%
SRR7217646_rgi_card_k141_13005_4_#_2289_#_3434_#_-1_#_ID=3866_4;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.563	62	2	1146	1	100	100%
SRR9865643_rgi_card_k141_22620_4_#_2289_#_3434_#_-1_#_ID=6728_4;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.563	62	2	1146	0	100.00%	100%
SRR7281045_rgi_card_k119_4713_2_#_451_#_1545_#_-1_#_ID=1763_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.540	63	1	1095	1	100	100%
SRR4305327_rgi_card_k119_9840_1_#_2_#_1081_#_1_#_ID=2022_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.620	64	1	1080	1	100	100%
SRR8942431_rgi_card_k119_12086_1_#_3_#_1070_#_-1_#_ID=4528_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.534	65	1	1068	1	100	100%
SRR4305420_rgi_card_k119_23267_1_#_3_#_1064_#_-1_#_ID=6871_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.548	66	1	1062	1	100	100%
SRR4408263_rgi_card_k119_10151_1_#_2_#_1057_#_1_#_ID=2502_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.570	67	1	1056	1	100	100%
SRR13622737_rgi_card_k141_10692_1_#_3_#_1049_#_-1_#_ID=4462_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.530	68	1	1047	1	100	100%
SRR4305364_rgi_card_k119_14131_2_#_813_#_1859_#_1_#_ID=4192_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.402	69	1	1047	1	100	100%
SRR4305054_rgi_card_k119_29594_1_#_3_#_1043_#_1_#_ID=9116_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.543	70	1	1041	1	100	100%
SRR7280843_rgi_card_k119_1856_1_#_3_#_1037_#_-1_#_ID=643_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.547	71	2	1035	1	100	100%
SRR7281054_rgi_card_k119_22329_1_#_3_#_1037_#_-1_#_ID=5836_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.547	71	2	1035	0	99.81%	100%
SRR4305420_rgi_card_k119_23267_3_#_3112_#_4143_#_-1_#_ID=6871_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.561	72	1	1032	1	100	100%
SRR4305515_rgi_card_k119_2922_2_#_1583_#_2614_#_-1_#_ID=751_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.564	73	1	1032	1	100	100%
SRR7217846_rgi_card_k141_3209_3_#_2683_#_3714_#_1_#_ID=1115_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.560	74	1	1032	1	100	100%
